,state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,average_hourly_night_rate,average_hourly_day_rate,average_hourly_intl_rate,average_hourly_eve_rate,total_minutes,state,international plan,voice mail plan,churn
1307,SD,139,no,no,0,196.0,135,33.32,186.0,146,15.81,153.0,92,6.89,9.8,1,2.65,3,22.206095791001452,5.88235294117647,3.6981132075471703,11.76470588235294,544.8,SD,no,no,False
1755,MO,80,yes,yes,15,159.3,110,27.08,170.6,120,14.5,141.2,82,6.35,11.9,5,3.21,1,22.236220472440944,5.882570162481537,3.707165109034268,11.76551724137931,483.0,MO,yes,yes,False
1633,NY,87,no,no,0,204.8,101,34.82,161.0,80,13.69,285.7,89,12.86,9.5,3,2.57,0,22.216174183514774,5.881677197013211,3.6964980544747084,11.760409057706356,661.0,NY,no,no,False
2455,TN,129,no,no,0,101.4,145,17.24,249.1,116,21.17,157.6,107,7.09,7.1,6,1.92,1,22.22849083215797,5.881670533642692,3.6979166666666665,11.766650921114785,515.2,TN,no,no,False
848,ME,149,no,no,0,237.6,79,40.39,192.4,107,16.35,207.4,111,9.33,9.1,9,2.46,0,22.229367631296892,5.882644218866056,3.6991869918699187,11.767584097859327,646.5,ME,no,no,False
1556,FL,106,no,no,0,178.4,143,30.33,247.0,123,21.0,259.9,105,11.7,9.6,2,2.59,0,22.213675213675213,5.881965051104517,3.7065637065637067,11.761904761904763,694.9,FL,no,no,False
270,PA,101,no,no,0,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,22.213333333333335,5.882687927107062,3.7055837563451774,11.76255230125523,696.0,PA,no,no,False
633,NJ,122,no,yes,34,146.4,104,24.89,89.7,103,7.62,220.0,91,9.9,15.6,4,4.21,2,22.22222222222222,5.881880273202089,3.705463182897862,11.771653543307087,471.7,NJ,no,yes,False
1040,CT,150,no,no,0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4,22.22532588454376,5.8825357364822874,3.7096774193548385,11.762513312034079,658.1,CT,no,no,False
287,KS,137,no,no,0,205.9,88,35.0,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,2,22.21455938697318,5.8828571428571435,3.6989795918367347,11.765036537380553,719.5999999999999,KS,no,no,False
1334,KS,126,no,no,0,321.3,99,54.62,167.9,93,14.27,193.6,106,8.71,8.0,4,2.16,1,22.227324913892076,5.882460637129257,3.7037037037037033,11.76594253679047,690.8,KS,no,no,True
2461,WY,78,no,no,0,220.0,95,37.4,179.9,121,15.29,188.2,109,8.47,11.5,5,3.11,0,22.219598583234944,5.882352941176471,3.6977491961414795,11.765860039241335,599.6,WY,no,no,False
301,FL,127,no,no,0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,22.231759656652358,5.88261253309797,3.710691823899371,11.76366059529098,744.5,FL,no,no,True
1678,VT,64,no,no,0,145.5,116,24.74,228.4,110,19.41,273.4,91,12.3,8.9,8,2.4,1,22.22764227642276,5.881164106709782,3.7083333333333335,11.767130345182895,656.1999999999999,VT,no,no,False
2367,AK,74,no,no,0,262.3,114,44.59,198.9,96,16.91,165.9,90,7.47,6.6,5,1.78,3,22.208835341365464,5.882484862076699,3.7078651685393256,11.76227084565346,633.7,AK,no,no,False
2124,KS,43,no,no,0,27.0,117,4.59,160.9,97,13.68,279.5,96,12.58,10.7,3,2.89,3,22.217806041335454,5.882352941176471,3.702422145328719,11.761695906432749,478.1,KS,no,no,False
1628,WY,131,no,no,0,110.9,74,18.85,115.6,90,9.83,190.5,114,8.57,15.8,9,4.27,1,22.228704784130688,5.883289124668435,3.7002341920374713,11.759918616480162,432.79999999999995,WY,no,no,False
65,WA,40,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,22.232606438213914,5.881652104845115,3.7125748502994016,11.76266481609993,537.9,WA,no,yes,False
2470,MS,189,no,no,0,227.8,124,38.73,169.5,112,14.41,201.1,91,9.05,5.6,4,1.51,3,22.22099447513812,5.881745416989415,3.7086092715231787,11.76266481609993,604.0,MS,no,no,False
896,VT,125,no,no,0,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,2,22.219827586206897,5.882079851439183,3.7017994858611827,11.762481089258698,502.79999999999995,VT,no,no,False
1842,WA,97,no,no,0,276.1,82,46.94,201.1,106,17.09,231.3,73,10.41,8.9,4,2.4,0,22.219020172910664,5.88197699190456,3.7083333333333335,11.76711527208894,717.4000000000001,WA,no,no,True
2921,NE,80,no,no,0,127.8,67,21.73,181.6,112,15.44,197.3,63,8.88,15.9,2,4.29,2,22.21846846846847,5.881270133456051,3.7062937062937062,11.761658031088082,522.6,NE,no,no,False
2099,MA,71,no,no,0,290.4,108,49.37,253.9,92,21.58,263.3,126,11.85,10.1,5,2.73,3,22.219409282700422,5.882114644520964,3.6996336996336994,11.765523632993514,817.7,MA,no,no,True
1510,NY,92,no,no,0,265.6,82,45.15,180.7,75,15.36,211.1,113,9.5,8.6,2,2.32,1,22.221052631578946,5.882613510520488,3.706896551724138,11.764322916666666,666.0,NY,no,no,False
231,OH,63,yes,yes,36,199.0,110,33.83,291.3,111,24.76,197.6,92,8.89,11.0,6,2.97,1,22.227221597300336,5.882352941176471,3.7037037037037033,11.764943457189014,698.9000000000001,OH,yes,yes,False
506,OH,136,no,yes,31,143.1,88,24.33,236.6,65,20.11,227.8,120,10.25,11.4,5,3.08,2,22.22439024390244,5.881627620221948,3.7012987012987013,11.765290900049727,618.9,OH,no,yes,False
1498,NH,50,no,no,0,154.7,102,26.3,298.0,108,25.33,210.2,95,9.46,11.1,3,3.0,0,22.219873150105705,5.8821292775665395,3.6999999999999997,11.764705882352942,674.0,NH,no,no,False
1679,OK,82,no,no,0,329.8,73,56.07,208.3,120,17.71,267.1,102,12.02,10.6,6,2.86,0,22.22129783693844,5.881933297663635,3.7062937062937062,11.76171654432524,815.8000000000002,OK,no,no,True
1787,OH,146,no,yes,31,202.5,91,34.43,241.4,108,20.52,169.6,77,7.63,7.8,2,2.11,1,22.228047182175622,5.881498693000291,3.6966824644549763,11.764132553606238,621.3000000000001,OH,no,yes,False
1522,ND,62,no,no,0,159.9,100,27.18,172.2,99,14.64,263.2,109,11.84,5.6,4,1.51,1,22.22972972972973,5.883002207505519,3.7086092715231787,11.762295081967212,600.9000000000001,ND,no,no,False
1010,ND,105,no,no,0,246.4,83,41.89,256.2,101,21.78,169.0,151,7.61,3.8,4,1.03,0,22.207621550591327,5.88207209357842,3.6893203883495143,11.763085399449034,675.4,ND,no,no,False
841,NV,77,no,no,0,239.2,114,40.66,150.0,115,12.75,160.8,81,7.24,10.3,2,2.78,5,22.209944751381215,5.88293162813576,3.705035971223022,11.764705882352942,560.3,NV,no,no,False
2941,SC,112,no,yes,31,225.2,89,38.28,256.8,117,21.83,249.7,87,11.24,11.5,1,3.11,4,22.215302491103202,5.882967607105537,3.6977491961414795,11.763628034814477,743.2,SC,no,yes,False
376,DC,138,no,no,0,170.5,87,28.99,118.2,116,10.05,187.9,111,8.46,11.2,7,3.02,2,22.210401891252953,5.881338392549155,3.7086092715231787,11.761194029850746,487.79999999999995,DC,no,no,False
1548,MD,102,no,no,0,271.1,80,46.09,172.0,133,14.62,169.2,105,7.61,10.3,5,2.78,1,22.233902759526934,5.881970058581037,3.705035971223022,11.764705882352942,622.6,MD,no,no,False
3210,TN,93,yes,no,0,168.4,114,28.63,276.0,127,23.46,196.2,48,8.83,11.4,3,3.08,1,22.21970554926387,5.881942018861334,3.7012987012987013,11.76470588235294,652.0,TN,yes,no,False
2467,TN,3,yes,no,0,161.0,96,27.37,244.9,82,20.82,180.8,103,8.14,7.7,6,2.08,1,22.21130221130221,5.88235294117647,3.701923076923077,11.76272814601345,594.4,TN,yes,no,False
945,NC,122,no,no,0,180.0,88,30.6,145.0,77,12.33,233.7,120,10.52,11.5,6,3.11,2,22.214828897338403,5.88235294117647,3.6977491961414795,11.759935117599351,570.2,NC,no,no,False
1329,AZ,137,no,no,0,141.1,91,23.99,147.2,100,12.51,254.7,75,11.46,8.0,7,2.16,2,22.225130890052352,5.8816173405585666,3.7037037037037033,11.766586730615506,551.0,AZ,no,no,False
2304,OK,93,no,yes,32,116.9,120,19.87,232.4,97,19.75,127.7,112,5.75,11.0,9,2.97,0,22.208695652173912,5.883241066935078,3.7037037037037033,11.767088607594937,488.0,OK,no,yes,False
756,WY,33,no,no,0,213.9,88,36.36,239.8,119,20.38,148.7,71,6.69,9.8,14,2.65,2,22.227204783258593,5.8828382838283835,3.6981132075471703,11.766437684003927,612.2,WY,no,no,False
99,ID,77,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,22.229402261712437,5.881803316982014,3.6981132075471703,11.767734553775743,742.5,ID,no,no,True
2788,MN,134,no,no,0,244.1,99,41.5,246.9,111,20.99,200.0,133,9.0,7.2,2,1.94,0,22.22222222222222,5.881927710843374,3.711340206185567,11.762744163887566,698.2,MN,no,no,False
871,MA,98,no,no,0,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3.0,4,22.224824355971894,5.882097962722149,3.6999999999999997,11.767614338689741,757.5999999999999,MA,no,no,True
916,WY,105,no,no,0,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2,22.23196881091618,5.881006864988558,3.7078651685393256,11.766917293233082,625.8,WY,no,no,False
1640,TN,68,no,no,0,222.8,99,37.88,175.8,85,14.94,202.0,111,9.09,11.0,3,2.97,3,22.22222222222222,5.881731784582893,3.7037037037037033,11.76706827309237,611.6,TN,no,no,False
532,OR,98,no,yes,38,213.7,61,36.33,253.0,104,21.51,207.7,73,9.35,10.7,5,2.89,2,22.21390374331551,5.882191026699697,3.702422145328719,11.761971176197116,685.0999999999999,OR,no,yes,False
1268,NJ,131,no,no,0,211.8,115,36.01,260.5,102,22.14,144.2,96,6.49,10.8,7,2.92,0,22.21879815100154,5.881699527908915,3.6986301369863015,11.766034327009937,627.3,NJ,no,no,False
2025,IN,119,no,no,0,154.5,129,26.27,193.6,87,16.46,180.9,145,8.14,13.4,3,3.62,2,22.223587223587224,5.8812333460220785,3.701657458563536,11.761846901579586,542.4,IN,no,no,False
640,ND,88,no,no,0,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2,22.219827586206897,5.881281864530226,3.7089201877934275,11.76271186440678,549.0999999999999,ND,no,no,False
1277,FL,68,no,yes,24,176.0,118,29.92,277.9,116,23.62,174.7,71,7.86,14.7,7,3.97,1,22.2264631043257,5.88235294117647,3.7027707808564227,11.76545300592718,643.3,FL,no,yes,False
186,NY,106,no,no,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,22.228443449048154,5.882134914751667,3.709090909090909,11.755027422303474,431.7,NY,no,no,False
2095,CO,98,no,no,0,236.2,122,40.15,189.4,110,16.1,153.6,104,6.91,13.3,4,3.59,0,22.228654124457307,5.882938978829389,3.7047353760445687,11.763975155279502,592.5,CO,no,no,False
1472,MD,76,yes,no,0,273.3,66,46.46,263.6,121,22.41,165.2,84,7.43,12.0,7,3.24,1,22.234185733512785,5.882479552303057,3.7037037037037033,11.76260597947345,714.1,MD,yes,no,True
1737,RI,134,no,no,0,141.7,95,24.09,205.6,101,17.48,218.5,60,9.83,8.8,6,2.38,0,22.227873855544253,5.882108758821087,3.6974789915966393,11.762013729977117,574.6,RI,no,no,False
937,DC,76,no,no,0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2,22.22490931076179,5.882044560943644,3.701657458563536,11.766109785202865,562.8000000000001,DC,no,no,False
3212,WV,144,no,yes,38,105.0,86,17.85,121.8,123,10.35,221.5,122,9.97,3.7,4,1.0,0,22.216649949849547,5.88235294117647,3.7,11.768115942028986,452.0,WV,no,yes,False
2553,VT,67,no,no,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10.0,2,2.7,6,22.211538461538463,5.8820871922295,3.7037037037037033,11.76271186440678,686.5,VT,no,no,False
2477,MA,96,no,no,0,173.9,111,29.56,287.4,105,24.43,204.8,91,9.22,9.1,7,2.46,1,22.212581344902386,5.882949932341002,3.6991869918699187,11.76422431436758,675.2,MA,no,no,False
2664,NM,188,yes,yes,26,198.8,115,33.8,166.6,67,14.16,198.5,118,8.93,14.4,3,3.89,1,22.228443449048154,5.881656804733729,3.7017994858611827,11.76553672316384,578.3,NM,yes,yes,True
1281,MN,109,no,no,0,162.6,138,27.64,154.0,109,13.09,209.7,118,9.44,11.5,4,3.11,0,22.213983050847457,5.882778581765557,3.6977491961414795,11.764705882352942,537.8,MN,no,no,False
2301,PA,104,no,no,0,144.5,107,24.57,180.5,85,15.34,226.0,94,10.17,17.0,6,4.59,2,22.22222222222222,5.881155881155881,3.7037037037037037,11.766623207301173,568.0,PA,no,no,False
611,KY,90,no,no,0,193.7,83,32.93,154.2,79,13.11,299.0,60,13.46,12.7,3,3.43,1,22.213967310549776,5.882174309140601,3.702623906705539,11.762013729977117,659.5999999999999,KY,no,no,False
1671,VA,84,no,no,0,130.2,105,22.13,278.0,60,23.63,305.4,74,13.74,14.0,6,3.78,2,22.22707423580786,5.883416177135111,3.7037037037037037,11.764705882352942,727.5999999999999,VA,no,no,False
151,NE,117,no,no,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,22.213967310549776,5.881006864988558,3.6996336996336994,11.76437108708025,618.6,NE,no,no,False
3248,NJ,93,no,no,0,146.3,85,24.87,216.6,95,18.41,233.0,82,10.49,11.5,3,3.11,0,22.21163012392755,5.88258946521914,3.6977491961414795,11.765344921238457,607.4,NJ,no,no,False
2385,NM,132,no,no,0,214.6,78,36.48,251.7,98,21.39,240.8,88,10.84,13.9,2,3.75,0,22.214022140221402,5.8826754385964914,3.7066666666666666,11.767180925666198,721.0,NM,no,no,False
1830,CT,50,no,no,0,301.7,82,51.29,167.1,118,14.2,72.2,89,3.25,10.5,6,2.84,1,22.215384615384615,5.882238253070774,3.6971830985915495,11.767605633802818,551.5,CT,no,no,False
2135,AL,100,no,no,0,160.3,138,27.25,221.3,92,18.81,150.4,120,6.77,11.2,2,3.02,0,22.21565731166913,5.8825688073394495,3.7086092715231787,11.765018607123872,543.2,AL,no,no,False
736,UT,68,no,no,0,162.1,86,27.56,155.0,86,13.18,189.7,87,8.54,11.0,9,2.97,5,22.21311475409836,5.881712626995646,3.7037037037037033,11.760242792109256,517.8,UT,no,no,True
1663,WV,191,no,no,0,162.0,104,27.54,241.2,120,20.5,210.4,83,9.47,10.9,7,2.94,1,22.217529039070747,5.882352941176471,3.7074829931972793,11.765853658536585,624.5,WV,no,no,False
1974,KY,113,no,yes,20,157.8,83,26.83,161.5,56,13.73,271.5,100,12.22,8.7,2,2.35,5,22.217675941080195,5.881475959746553,3.7021276595744674,11.762563729060451,599.5,KY,no,yes,True
3030,MI,37,no,no,0,191.4,116,32.54,167.4,99,14.23,216.5,112,9.74,14.0,5,3.78,3,22.227926078028748,5.881991395205901,3.7037037037037037,11.763879128601546,589.3,MI,no,no,False
23,SC,111,no,no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,22.227432590855805,5.8817261587639855,3.701923076923077,11.765209940017138,445.0,SC,no,no,False
2354,MT,102,no,no,0,273.2,85,46.44,211.1,82,17.94,203.7,129,9.17,13.1,7,3.54,2,22.213740458015266,5.882859603789837,3.700564971751412,11.7670011148272,701.1,MT,no,no,True
158,MO,6,no,no,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,22.213930348258707,5.882729894264658,3.709090909090909,11.764436296975251,629.0999999999999,MO,no,no,False
866,OH,119,no,yes,27,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3.0,0,22.23065250379363,5.881881346873329,3.6999999999999997,11.76315789473684,645.9000000000001,OH,no,yes,False
3295,TN,110,no,no,0,227.7,88,38.71,170.0,96,14.45,128.7,57,5.79,11.7,5,3.16,1,22.227979274611396,5.882200981658486,3.70253164556962,11.764705882352942,538.0999999999999,TN,no,no,False
908,CO,23,no,no,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15.0,4,4.05,6,22.224469160768454,5.883080729972162,3.7037037037037037,11.768033946251768,591.4,CO,no,no,False
1772,CO,59,no,no,0,153.6,92,26.11,205.5,88,17.47,114.5,89,5.15,12.5,10,3.38,1,22.233009708737864,5.882803523554194,3.698224852071006,11.763022323983973,486.1,CO,no,no,False
1238,OH,147,yes,yes,24,219.9,118,37.38,208.5,116,17.72,352.5,111,15.86,8.1,4,2.19,3,22.225725094577555,5.88282504012841,3.6986301369863015,11.766365688487586,789.0,OH,yes,yes,False
2509,KY,108,no,no,0,73.8,105,12.55,143.4,114,12.19,170.2,98,7.66,10.9,3,2.94,2,22.219321148825063,5.880478087649402,3.7074829931972793,11.763740771123873,398.3,KY,no,no,False
446,TX,88,no,no,0,138.3,116,23.51,236.0,138,20.06,179.1,110,8.06,9.6,4,2.59,3,22.220843672456574,5.882603147596767,3.7065637065637067,11.764705882352942,563.0,TX,no,no,False
3261,VT,131,no,no,0,175.1,73,29.77,171.9,116,14.61,131.1,94,5.9,7.3,6,1.97,1,22.220338983050844,5.881760161236143,3.7055837563451774,11.765913757700206,485.4,VT,no,no,False
759,NV,136,no,yes,21,179.4,88,30.5,181.1,97,15.39,320.7,120,14.43,9.5,4,2.57,2,22.224532224532226,5.881967213114755,3.6964980544747084,11.767381416504223,690.7,NV,no,yes,False
929,HI,24,no,no,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1,22.2279792746114,5.882782101167316,3.7078651685393256,11.766612641815234,608.2,HI,no,no,False
3300,SC,111,no,yes,21,127.1,94,21.61,228.3,116,19.41,166.7,108,7.5,7.1,3,1.92,1,22.226666666666667,5.881536325775104,3.6979166666666665,11.761978361669243,529.2,SC,no,yes,False
2340,ID,101,no,yes,17,193.9,71,32.96,189.8,81,16.13,196.3,97,8.83,12.6,7,3.4,0,22.231030577576444,5.882888349514563,3.7058823529411766,11.76689398636082,592.6000000000001,ID,no,yes,False
312,VA,16,no,no,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,22.232323232323232,5.882689556509298,3.7074829931972793,11.76266481609993,606.0999999999999,VA,no,no,False
1384,CT,141,no,no,0,51.9,108,8.82,162.0,83,13.77,223.5,115,10.06,10.1,3,2.73,3,22.216699801192842,5.884353741496598,3.6996336996336994,11.764705882352942,447.5,CT,no,no,False
551,NY,157,no,no,0,224.5,111,38.17,200.7,99,17.06,116.6,118,5.25,11.5,2,3.11,2,22.20952380952381,5.881582394550694,3.6977491961414795,11.764361078546308,553.3,NY,no,no,False
2221,FL,120,no,no,0,184.5,103,31.37,209.0,86,17.77,169.7,70,7.64,10.2,6,2.75,2,22.212041884816752,5.881415364998406,3.709090909090909,11.761395610579628,573.4,FL,no,no,False
1800,NE,21,no,no,0,225.0,110,38.25,244.2,111,20.76,221.2,93,9.95,10.7,4,2.89,0,22.231155778894472,5.882352941176471,3.702422145328719,11.76300578034682,701.0999999999999,NE,no,no,False
307,IN,122,no,no,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,22.205638474295192,5.882119468148441,3.7012987012987013,11.76341730558598,656.5,IN,no,no,True
288,AL,167,no,no,0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0,22.229965156794425,5.88268631340323,3.700787401574803,11.76888888888889,609.3,AL,no,no,False
698,NH,37,no,no,0,206.0,89,35.02,186.0,88,15.81,307.1,86,13.82,8.4,11,2.27,0,22.221418234442837,5.88235294117647,3.7004405286343616,11.76470588235294,707.5,NH,no,no,False
309,SD,209,no,no,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,22.215496368038743,5.882962195753496,3.7083333333333335,11.766848816029142,678.0,SD,no,no,False
2579,DC,66,no,no,0,146.4,107,24.89,196.5,99,16.7,230.1,106,10.35,7.8,2,2.11,1,22.231884057971016,5.881880273202089,3.6966824644549763,11.766467065868264,580.8,DC,no,no,False
2132,GA,202,no,no,0,115.4,137,19.62,178.7,70,15.19,185.7,113,8.36,6.0,3,1.62,3,22.21291866028708,5.881753312945974,3.7037037037037033,11.764318630678078,485.8,GA,no,no,False
754,NY,41,no,no,0,209.9,105,35.68,121.9,105,10.36,253.7,104,11.42,9.6,4,2.59,1,22.215411558669,5.882847533632288,3.7065637065637067,11.766409266409267,595.1,NY,no,no,False
1776,WY,62,no,no,0,172.4,132,29.31,230.5,100,19.59,228.2,109,10.27,11.0,5,2.97,0,22.220058422590068,5.881951552371205,3.7037037037037033,11.766207248596222,642.1,WY,no,no,False
2419,CA,37,no,no,0,239.9,120,40.78,261.6,88,22.24,207.1,88,9.32,8.9,4,2.4,2,22.221030042918454,5.882785679254536,3.7083333333333335,11.762589928057556,717.5,CA,no,no,True
1871,IN,69,no,no,0,185.3,91,31.5,219.1,88,18.62,243.6,107,10.96,5.5,5,1.49,0,22.22627737226277,5.882539682539683,3.691275167785235,11.766917293233082,653.5,IN,no,no,False
1605,IA,73,no,no,0,137.1,102,23.31,210.8,114,17.92,191.4,120,8.61,11.1,4,3.0,1,22.229965156794428,5.8815958815958815,3.6999999999999997,11.763392857142856,550.4000000000001,IA,no,no,False
914,MO,179,no,no,0,287.3,123,48.84,288.0,114,24.48,266.0,112,11.97,10.5,4,2.84,0,22.22222222222222,5.882473382473382,3.6971830985915495,11.76470588235294,851.8,MO,no,no,True
86,IN,94,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,22.227432590855805,5.88301043219076,3.7037037037037033,11.760242792109256,510.5,IN,no,no,True
2643,MI,74,no,no,0,124.8,114,21.22,133.0,121,11.31,160.3,85,7.21,10.6,7,2.86,3,22.233009708737868,5.8812441093308205,3.7062937062937062,11.759504862953138,428.70000000000005,MI,no,no,False
1589,AK,76,no,no,0,143.7,55,24.43,173.1,108,14.71,239.1,95,10.76,5.8,6,1.57,1,22.221189591078065,5.88211215718379,3.6942675159235665,11.767505098572398,561.6999999999999,AK,no,no,False
2769,WI,137,no,no,0,155.5,81,26.44,133.1,94,11.31,253.1,77,11.39,9.1,2,2.46,1,22.221246707638276,5.881240544629349,3.6991869918699187,11.768346595932801,550.8000000000001,WI,no,no,False
976,KY,104,no,no,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13.0,6,3.51,0,22.22502099076406,5.881027489860297,3.7037037037037037,11.766816143497756,539.4,KY,no,no,False
13,MT,95,no,no,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,22.23121387283237,5.882794891059353,3.704819277108434,11.762470308788599,608.8,MT,no,no,False
879,ID,122,no,yes,33,270.8,96,46.04,220.4,110,18.73,169.9,104,7.65,11.8,8,3.19,4,22.209150326797385,5.881841876629019,3.699059561128527,11.76721836625734,672.9000000000001,ID,no,yes,False
813,WI,166,no,no,0,173.9,103,29.56,276.4,83,23.49,190.8,113,8.59,15.3,5,4.13,0,22.21187427240978,5.882949932341002,3.7046004842615017,11.766709237973606,656.4000000000001,WI,no,no,False
2860,NM,81,no,no,0,173.2,80,29.44,236.2,94,20.08,240.2,84,10.81,11.8,6,3.19,2,22.220166512488433,5.883152173913043,3.699059561128527,11.762948207171315,661.4,NM,no,no,False
517,OK,52,no,no,0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2,22.234234234234236,5.882191780821917,3.7007874015748032,11.765578635014837,506.1,OK,no,no,False
2677,IA,44,no,no,0,308.6,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,4,22.225950782997764,5.882577201677469,3.7055837563451774,11.762870514820593,665.4000000000001,IA,no,no,True
411,NV,64,no,no,0,97.2,80,16.52,186.2,90,15.83,189.0,92,8.5,10.4,6,2.81,2,22.235294117647058,5.883777239709444,3.701067615658363,11.762476310802274,482.79999999999995,NV,no,no,False
2700,SC,209,no,no,0,255.1,124,43.37,230.6,110,19.6,218.0,69,9.81,8.5,5,2.3,3,22.22222222222222,5.881946045653678,3.695652173913044,11.765306122448978,712.2,SC,no,no,True
1346,PA,106,yes,no,0,133.7,45,22.73,187.8,107,15.96,181.9,89,8.19,10.7,2,2.89,1,22.210012210012213,5.882094148702155,3.702422145328719,11.766917293233083,514.1,PA,yes,no,True
1424,WA,78,no,no,0,140.7,77,23.92,195.2,114,16.59,252.9,107,11.38,11.7,5,3.16,0,22.223198594024602,5.88210702341137,3.70253164556962,11.766124171187462,600.5,WA,no,no,False
2516,MA,127,no,yes,19,129.7,115,22.05,160.8,101,13.67,265.0,63,11.93,12.2,3,3.29,2,22.212908633696564,5.882086167800453,3.708206686930091,11.762984637893197,567.7,MA,no,yes,False
1621,SC,138,no,yes,21,19.5,149,3.32,140.9,109,11.98,179.7,111,8.09,7.9,1,2.13,0,22.212608158220025,5.873493975903615,3.7089201877934275,11.76126878130217,348.0,SC,no,yes,False
1517,FL,130,no,no,0,207.1,70,35.21,200.1,115,17.01,194.2,100,8.74,12.4,2,3.35,1,22.219679633867276,5.881851746662879,3.701492537313433,11.763668430335096,613.8,FL,no,no,False
2293,NJ,59,yes,yes,31,225.0,78,38.25,191.3,79,16.26,226.7,79,10.2,9.1,3,2.46,1,22.225490196078432,5.882352941176471,3.6991869918699187,11.765067650676507,652.1,NJ,yes,yes,False
1756,NC,118,yes,yes,39,153.8,106,26.15,123.3,111,10.48,117.8,103,5.3,9.2,6,2.48,1,22.22641509433962,5.881453154875718,3.7096774193548385,11.765267175572518,404.1,NC,yes,yes,False
384,OH,84,no,no,0,159.5,125,27.12,247.1,90,21.0,187.9,82,8.46,7.2,4,1.94,2,22.210401891252953,5.8812684365781704,3.711340206185567,11.766666666666666,601.6999999999999,OH,no,no,False
1945,WA,107,no,no,0,230.4,65,39.17,257.4,80,21.88,107.3,88,4.83,8.5,3,2.3,1,22.215320910973084,5.882052591268828,3.695652173913044,11.76416819012797,603.5999999999999,WA,no,no,False
2435,NY,112,no,yes,23,286.6,79,48.72,315.3,102,26.8,193.9,101,8.73,10.3,6,2.78,1,22.210767468499427,5.8825944170771765,3.705035971223022,11.764925373134329,806.1,NY,no,yes,False
1518,WA,104,no,no,0,139.7,78,23.75,202.6,119,17.22,203.6,102,9.16,11.3,5,3.05,2,22.22707423580786,5.882105263157894,3.704918032786886,11.765389082462253,557.1999999999999,WA,no,no,False
3326,OH,96,no,no,0,106.6,128,18.12,284.8,87,24.21,178.9,92,8.05,14.9,7,4.02,1,22.22360248447205,5.883002207505518,3.706467661691543,11.763733994217265,585.2,OH,no,no,False
2042,MT,51,no,yes,26,236.8,61,40.26,263.4,97,22.39,181.1,91,8.15,11.2,8,3.02,1,22.22085889570552,5.881768504719325,3.7086092715231787,11.764180437695398,692.5,MT,no,yes,False
3109,VA,139,yes,no,0,161.5,121,27.46,192.9,137,16.4,168.3,96,7.57,11.2,13,3.02,0,22.23249669749009,5.881281864530226,3.7086092715231787,11.76219512195122,533.9,VA,yes,no,False
1683,TN,47,no,yes,30,196.6,93,33.42,241.4,140,20.52,226.0,118,10.17,12.9,4,3.48,2,22.22222222222222,5.882704967085577,3.706896551724138,11.764132553606238,676.9,TN,no,yes,False
1404,NV,87,no,yes,39,82.6,113,14.04,224.4,63,19.07,163.6,88,7.36,9.5,1,2.57,3,22.228260869565215,5.883190883190883,3.6964980544747084,11.76717357105401,480.1,NV,no,yes,False
