,state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,average_night_rate_by_min,average_day_rate_by_min,average_intl_rate_by_min,average_eve_rate_by_min,total_minutes,churn
673,CO,60,no,no,0,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02,3,0.04500709891150023,0.17002398081534773,0.2696428571428572,0.085008038585209,596.4,False
2136,WV,43,no,no,0,199.9,108,33.98,288.4,80,24.51,180.6,103,8.13,11.3,7,3.05,1,0.04501661129568107,0.1699849924962481,0.26991150442477874,0.0849861303744799,680.2,False
2735,TX,90,yes,yes,26,169.0,104,28.73,188.8,104,16.05,213.3,76,9.6,13.3,3,3.59,0,0.045007032348804495,0.17,0.2699248120300752,0.08501059322033898,584.4000000000001,True
1435,IL,89,yes,yes,19,112.6,114,19.14,261.7,132,22.24,123.5,116,5.56,11.1,2,3.0,0,0.045020242914979754,0.1699822380106572,0.2702702702702703,0.0849828047382499,508.9,True
1187,FL,142,no,yes,26,220.5,94,37.49,239.5,126,20.36,254.3,109,11.44,5.9,9,1.59,2,0.04498623672827369,0.17002267573696145,0.2694915254237288,0.08501043841336117,720.2,False
2079,MN,122,no,no,0,234.1,101,39.8,200.2,121,17.02,237.4,89,10.68,13.1,9,3.54,2,0.04498736310025274,0.17001281503630927,0.2702290076335878,0.08501498501498501,684.8,False
2297,MO,136,no,no,0,92.4,109,15.71,219.0,115,18.62,212.6,80,9.57,12.9,4,3.48,2,0.04501411100658514,0.17002164502164502,0.2697674418604651,0.08502283105022831,536.9,False
2638,HI,105,no,no,0,125.4,116,21.32,261.5,95,22.23,241.6,104,10.87,11.4,9,3.08,2,0.04499172185430463,0.17001594896331737,0.27017543859649124,0.0850095602294455,639.9,False
1721,NJ,106,no,no,0,191.4,124,32.54,200.7,116,17.06,230.1,76,10.35,8.2,3,2.21,1,0.044980443285528034,0.17001044932079415,0.26951219512195124,0.08500249128051819,630.4,False
1898,VT,159,no,no,0,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2.0,2,0.04502009825815096,0.17001450326323422,0.27027027027027023,0.0850131926121372,696.6,True
791,VT,38,no,no,0,137.8,86,23.43,286.3,76,24.34,167.0,77,7.52,14.1,3,3.81,2,0.04502994011976048,0.17002902757619737,0.2702127659574468,0.08501571777855396,605.2,False
2991,MO,101,yes,no,0,156.4,116,26.59,130.4,114,11.08,207.3,109,9.33,7.3,5,1.97,1,0.04500723589001447,0.17001278772378517,0.26986301369863014,0.08496932515337423,501.4000000000001,False
140,DE,110,no,no,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,0.04498966942148761,0.17003367003367004,0.2701612903225806,0.08498552821997106,630.9,False
793,WI,45,no,no,0,112.8,108,19.18,218.8,120,18.6,240.2,106,10.81,9.0,3,2.43,2,0.04500416319733556,0.1700354609929078,0.27,0.0850091407678245,580.8,False
1909,VT,195,no,yes,36,231.7,110,39.39,225.1,88,19.13,201.7,89,9.08,12.1,2,3.27,0,0.0450173525037184,0.1700043159257661,0.2702479338842975,0.08498445135495335,670.6,False
2258,TN,80,yes,no,0,276.5,122,47.01,195.6,79,16.63,210.3,78,9.46,7.2,3,1.94,1,0.044983357108892064,0.17001808318264014,0.26944444444444443,0.08502044989775051,689.6,True
719,AK,78,no,no,0,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2,0.04499025341130604,0.1699947451392538,0.2700854700854701,0.08498714652956299,653.0,False
1626,NC,149,no,no,0,207.3,115,35.24,198.4,82,16.86,114.1,83,5.13,8.6,4,2.32,1,0.04496056091148116,0.16999517607332368,0.2697674418604651,0.08497983870967742,528.4,False
1901,MO,132,no,no,0,206.2,100,35.05,211.2,118,17.95,196.2,122,8.83,10.2,6,2.75,1,0.04500509683995923,0.16998060135790494,0.26960784313725494,0.0849905303030303,623.8,False
1807,ND,110,no,no,0,196.1,103,33.34,199.7,123,16.97,135.9,71,6.12,12.9,1,3.48,3,0.045033112582781455,0.17001529831718512,0.2697674418604651,0.08497746619929895,544.5999999999999,False
1447,GA,160,no,no,0,174.3,105,29.63,171.3,107,14.56,220.8,131,9.94,8.3,2,2.24,0,0.04501811594202898,0.1699942627653471,0.26987951807228916,0.08499708114419148,574.7,False
1775,WI,142,no,yes,24,239.8,103,40.77,285.9,65,24.3,256.7,106,11.55,9.5,4,2.57,0,0.04499415660303857,0.17001668056713928,0.27052631578947367,0.08499475341028333,791.9,False
1323,NH,111,no,no,0,197.1,117,33.51,227.8,128,19.36,214.0,101,9.63,9.3,11,2.51,0,0.045000000000000005,0.1700152207001522,0.2698924731182795,0.08498683055311676,648.2,False
622,ME,105,no,yes,33,209.6,68,35.63,146.9,140,12.49,121.0,131,5.44,10.6,3,2.86,2,0.04495867768595042,0.1699904580152672,0.269811320754717,0.08502382573179033,488.1,False
408,RI,133,yes,no,0,127.3,108,21.64,251.3,81,21.36,135.0,88,6.08,10.3,3,2.78,1,0.045037037037037035,0.16999214454045564,0.2699029126213592,0.08499801034619975,523.9000000000001,False
1433,MI,79,no,no,0,220.9,107,37.55,192.2,97,16.34,161.0,74,7.25,12.2,2,3.29,1,0.04503105590062112,0.1699864191942055,0.269672131147541,0.08501560874089491,586.3,False
1418,OH,29,yes,yes,37,235.0,101,39.95,183.3,79,15.58,139.8,106,6.29,5.7,7,1.54,2,0.04499284692417739,0.17,0.27017543859649124,0.08499727223131479,563.8,False
3135,WV,120,no,no,0,192.6,123,32.74,206.4,105,17.54,283.2,93,12.74,10.8,3,2.92,1,0.04498587570621469,0.1699896157840083,0.27037037037037037,0.08498062015503875,693.0,False
2645,KS,91,yes,no,0,246.4,110,41.89,182.0,98,15.47,157.6,106,7.09,12.1,2,3.27,2,0.04498730964467005,0.17000811688311687,0.2702479338842975,0.085,598.1,True
1968,KY,72,no,no,0,177.1,97,30.11,184.7,105,15.7,174.1,94,7.83,8.0,6,2.16,1,0.04497415278575532,0.17001693958215697,0.27,0.08500270709258256,543.9,False
500,SD,126,no,yes,23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,0.04500831946755408,0.1699912510936133,0.2698412698412698,0.08502364687335785,557.6,False
344,SC,64,no,yes,37,154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1,0.04502712477396022,0.16998706338939198,0.2699248120300752,0.08501199040767385,417.20000000000005,False
2550,AR,87,no,no,0,185.8,119,31.59,192.3,83,16.35,200.0,96,9.0,6.6,4,1.78,1,0.045,0.170021528525296,0.2696969696969697,0.08502340093603744,584.7,False
2624,MI,105,no,no,0,226.9,106,38.57,182.2,77,15.49,203.9,107,9.18,11.6,2,3.13,0,0.04502206964198136,0.16998677831643896,0.26982758620689656,0.08501646542261251,624.6,True
787,NJ,24,no,no,0,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3.0,2,0.04498630136986302,0.16999246987951805,0.2702702702702703,0.0850095785440613,668.0,True
3075,CO,181,no,yes,40,105.2,61,17.88,341.3,79,29.01,165.7,97,7.46,6.3,3,1.7,2,0.04502112251056126,0.16996197718631179,0.2698412698412698,0.08499853501318488,618.5,False
304,AZ,136,no,no,0,92.0,117,15.64,253.6,77,21.56,214.1,90,9.63,10.3,10,2.78,1,0.04497898178421299,0.17,0.2699029126213592,0.08501577287066246,570.0,False
2726,NC,117,no,no,0,214.4,94,36.45,138.0,149,11.73,148.7,102,6.69,9.9,1,2.67,2,0.04498991257565569,0.17000932835820898,0.26969696969696966,0.085,511.0,False
2043,GA,64,no,no,0,124.1,117,21.1,192.8,108,16.39,162.9,84,7.33,6.4,5,1.73,3,0.044996930632289746,0.17002417405318293,0.27031249999999996,0.0850103734439834,486.2,False
668,WY,171,no,no,0,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,0.04499758337361044,0.1699826989619377,0.26991869918699185,0.08500264970853207,639.1,False
1185,DC,123,no,no,0,211.0,92,35.87,217.0,102,18.45,214.8,104,9.67,9.8,7,2.65,3,0.04501862197392923,0.16999999999999998,0.2704081632653061,0.08502304147465438,652.6,False
1252,ME,116,no,no,0,229.3,93,38.98,184.5,111,15.68,168.2,91,7.57,8.8,3,2.38,2,0.04500594530321047,0.16999563890100303,0.27045454545454545,0.08498644986449864,590.8,False
2004,CA,77,no,no,0,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,17.8,3,4.81,4,0.0449836867862969,0.17002849002849002,0.27022471910112356,0.08498293515358361,643.6,False
3047,AZ,88,no,no,0,172.8,81,29.38,193.4,90,16.44,89.6,107,4.03,12.8,5,3.46,2,0.04497767857142858,0.17002314814814812,0.27031249999999996,0.08500517063081696,468.6,False
3053,CA,82,no,no,0,199.3,112,33.88,193.4,120,16.44,254.4,117,11.45,7.0,10,1.89,0,0.04500786163522012,0.16999498243853486,0.26999999999999996,0.08500517063081696,654.1,False
2208,DE,129,no,no,0,161.3,122,27.42,220.6,95,18.75,224.7,104,10.11,9.6,3,2.59,1,0.04499332443257677,0.16999380037197767,0.26979166666666665,0.08499546690843156,616.2,False
84,TX,106,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,0.04498432601880877,0.16999050332383664,0.2701612903225806,0.08499197431781702,663.5999999999999,True
3250,NM,55,no,no,0,132.0,103,22.44,279.6,114,23.77,180.0,74,8.1,13.5,4,3.65,0,0.045,0.17,0.27037037037037037,0.0850143061516452,605.1,False
947,MN,150,no,yes,28,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11.0,4,2.97,1,0.044990079365079365,0.17001146788990823,0.27,0.08499117127722189,556.9,False
967,WV,43,no,no,0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0,0.04501557632398754,0.16998262380538665,0.26956521739130435,0.08500267809319764,554.5,False
846,NE,96,no,no,0,180.6,92,30.7,190.9,114,16.23,295.6,125,13.3,10.3,4,2.78,1,0.04499323410013532,0.1699889258028793,0.2699029126213592,0.08501833420639078,677.4000000000001,True
2481,VA,80,no,no,0,197.5,114,33.58,206.9,119,17.59,163.6,109,7.36,11.3,4,3.05,1,0.044987775061124696,0.17002531645569618,0.26991150442477874,0.08501691638472691,579.3000000000001,False
2641,DC,68,yes,yes,39,142.0,140,24.14,241.6,89,20.54,302.0,72,13.59,11.3,5,3.05,1,0.045,0.17,0.26991150442477874,0.08501655629139072,696.9,False
1959,NY,60,no,yes,31,191.8,75,32.61,267.8,135,22.76,200.5,62,9.02,12.8,3,3.46,2,0.04498753117206982,0.1700208550573514,0.27031249999999996,0.08498879761015683,672.9000000000001,False
1568,NE,105,no,yes,27,141.2,96,24.0,167.7,94,14.25,274.4,101,12.35,11.4,2,3.08,1,0.04500728862973761,0.16997167138810199,0.27017543859649124,0.08497316636851521,594.6999999999999,False
291,NE,132,no,no,0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,0.045003996802557955,0.17005025125628143,0.2701030927835052,0.0849728892331526,363.4,False
2130,NM,93,no,no,0,239.8,70,40.77,251.8,99,21.4,168.6,112,7.59,10.9,10,2.94,1,0.04501779359430605,0.17001668056713928,0.2697247706422018,0.08498808578236695,671.0999999999999,False
2702,VT,152,no,yes,20,214.6,108,36.48,96.6,82,8.21,170.7,145,7.68,7.9,5,2.13,1,0.04499121265377856,0.1699906803355079,0.26962025316455696,0.08498964803312631,489.79999999999995,False
608,WY,28,no,no,0,187.8,94,31.93,248.6,86,21.13,208.8,124,9.4,10.6,5,2.86,0,0.045019157088122604,0.17002129925452608,0.269811320754717,0.08499597747385358,655.8000000000001,False
2266,UT,144,no,yes,37,219.9,102,37.38,222.1,77,18.88,118.5,111,5.33,10.0,4,2.7,1,0.044978902953586496,0.16998635743519783,0.27,0.085006753714543,570.5,False
922,WI,80,no,no,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,0.04499039253362613,0.16998749478949562,0.2698924731182795,0.08503162333099086,755.8,False
1536,AR,95,no,no,0,69.4,79,11.8,190.8,109,16.22,219.9,102,9.9,8.9,5,2.4,0,0.045020463847203276,0.17002881844380402,0.2696629213483146,0.08501048218029349,489.0,False
2014,SD,87,no,no,0,184.5,81,31.37,172.0,103,14.62,183.4,96,8.25,13.7,3,3.7,3,0.04498364231188658,0.1700271002710027,0.27007299270072993,0.08499999999999999,553.5999999999999,False
1107,DE,98,no,yes,29,179.9,97,30.58,189.2,89,16.08,164.3,76,7.39,12.8,7,3.46,3,0.04497869750456482,0.16998332406892716,0.27031249999999996,0.08498942917547568,546.2,False
1096,RI,93,no,no,0,98.4,78,16.73,249.6,129,21.22,248.2,114,11.17,14.2,4,3.83,1,0.04500402900886382,0.17002032520325203,0.26971830985915496,0.08501602564102564,610.4,False
2335,MN,124,yes,no,0,157.8,71,26.83,203.2,114,17.27,168.7,82,7.59,10.0,2,2.7,3,0.044991108476585655,0.1700253485424588,0.27,0.08499015748031497,539.7,True
1596,AR,63,no,yes,49,214.9,86,36.53,198.2,89,16.85,170.8,139,7.69,8.2,5,2.21,0,0.04502341920374707,0.1699860400186133,0.26951219512195124,0.08501513622603432,592.1,False
826,IL,138,yes,no,0,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,0.04500542888165038,0.16999409332545776,0.2702127659574468,0.08499311610830655,580.8,False
2741,VA,21,no,no,0,223.2,142,37.94,216.5,114,18.4,214.7,111,9.66,12.4,2,3.35,1,0.044993013507219376,0.1699820788530466,0.2701612903225806,0.08498845265588914,666.8,False
1006,OR,48,no,no,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6.0,8.3,4,2.24,2,0.04497751124437781,0.17001050420168065,0.26987951807228916,0.08500787401574803,649.6,False
2779,CA,112,no,no,0,208.7,150,35.48,212.8,104,18.09,178.1,98,8.01,8.5,4,2.3,0,0.04497473329590118,0.17000479156684234,0.27058823529411763,0.08500939849624059,608.0999999999999,False
18,VA,76,no,yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0.04502112251056126,0.17000527148128625,0.27,0.08500939849624059,578.2,False
496,CA,93,no,yes,36,178.7,134,30.38,178.6,102,15.18,126.8,82,5.71,8.0,4,2.16,2,0.045031545741324924,0.17000559597090095,0.27,0.08499440089585666,492.1,False
1133,NV,64,no,no,0,148.1,73,25.18,164.9,101,14.02,216.0,125,9.72,12.3,2,3.32,5,0.045000000000000005,0.1700202565833896,0.26991869918699185,0.08502122498483929,541.3000000000001,True
1557,MN,52,no,yes,32,130.1,68,22.12,247.2,77,21.01,289.4,87,13.02,13.5,5,3.65,2,0.04498963372494817,0.17002305918524213,0.27037037037037037,0.08499190938511328,680.2,False
2021,NY,104,no,yes,26,189.1,112,32.15,178.2,97,15.15,199.3,104,8.97,11.1,4,3.0,1,0.04500752634219769,0.17001586462189316,0.2702702702702703,0.08501683501683502,577.7,False
3038,VA,121,no,yes,28,110.0,94,18.7,141.5,76,12.03,237.3,87,10.68,6.4,3,1.73,2,0.0450063211125158,0.16999999999999998,0.27031249999999996,0.08501766784452297,495.2,False
3067,WA,62,no,no,0,100.0,98,17.0,173.5,95,14.75,218.0,122,9.81,10.1,4,2.73,0,0.045000000000000005,0.17,0.2702970297029703,0.08501440922190202,501.6,False
2923,KY,110,no,no,0,99.4,62,16.9,275.0,86,23.38,212.1,94,9.54,16.7,3,4.51,2,0.044978783592644976,0.17002012072434605,0.27005988023952093,0.08501818181818181,603.2,False
2498,NV,89,no,no,0,134.9,59,22.93,156.0,152,13.26,197.5,112,8.89,10.2,5,2.75,1,0.045012658227848105,0.16997776130467013,0.26960784313725494,0.08499999999999999,498.59999999999997,False
2000,PA,28,no,no,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,10.1,3,2.73,3,0.04501039501039501,0.16997621878715816,0.2702970297029703,0.0849721706864564,532.4000000000001,False
1834,MO,138,no,yes,29,190.1,87,32.32,223.2,123,18.97,256.2,130,11.53,14.2,6,3.83,0,0.045003903200624515,0.1700157811678064,0.26971830985915496,0.0849910394265233,683.6999999999999,False
1925,NJ,84,no,no,0,190.2,102,32.33,197.7,141,16.8,247.5,102,11.14,9.8,6,2.65,2,0.045010101010101014,0.1699789695057834,0.2704081632653061,0.08497723823975721,645.2,False
2244,KS,148,no,no,0,239.3,84,40.68,195.7,85,16.63,232.6,104,10.47,10.9,3,2.94,1,0.04501289767841789,0.16999582114500625,0.2697247706422018,0.08497700562084824,678.5,False
1686,CT,163,no,yes,40,231.9,56,39.42,211.8,91,18.0,268.5,74,12.08,12.3,3,3.32,2,0.04499068901303538,0.16998706338939198,0.26991869918699185,0.08498583569405099,724.5,False
1015,AL,122,no,no,0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0,0.045016378100140385,0.17002150537634408,0.26974789915966385,0.08501216545012165,663.5999999999999,False
2683,CT,77,no,no,0,221.8,84,37.71,166.0,125,14.11,210.2,72,9.46,13.2,4,3.56,1,0.045004757373929595,0.1700180342651037,0.2696969696969697,0.08499999999999999,611.2,False
362,OH,39,no,yes,36,141.7,121,24.09,232.3,113,19.75,222.1,131,9.99,12.0,5,3.24,1,0.04497973885637101,0.17000705716302048,0.27,0.08501937150236763,608.0999999999999,False
2838,NM,178,no,yes,35,175.4,88,29.82,190.0,65,16.15,138.7,94,6.24,10.5,3,2.84,2,0.04498918529199712,0.17001140250855187,0.2704761904761905,0.08499999999999999,514.6,False
2138,WY,124,no,no,0,178.3,102,30.31,235.0,120,19.98,239.7,119,10.79,10.9,1,2.94,3,0.04501460158531498,0.16999439147504206,0.2697247706422018,0.08502127659574468,663.9,False
1488,GA,189,no,no,0,227.4,84,38.66,176.0,81,14.96,206.1,120,9.27,6.3,4,1.7,2,0.044978165938864625,0.1700087950747581,0.2698412698412698,0.085,615.8,False
2703,CT,162,no,no,0,49.2,121,8.36,143.9,136,12.23,203.0,97,9.14,12.1,13,3.27,1,0.045024630541871925,0.16991869918699185,0.2702479338842975,0.08498957609451008,408.20000000000005,False
1546,MO,56,no,no,0,137.2,111,23.32,165.9,119,14.1,182.3,72,8.2,14.3,4,3.86,1,0.04498080087767416,0.16997084548104957,0.2699300699300699,0.08499095840867993,499.70000000000005,False
3166,AR,54,no,no,0,247.5,85,42.08,225.4,93,19.16,244.3,132,10.99,10.2,2,2.75,2,0.04498567335243553,0.17002020202020202,0.26960784313725494,0.08500443655723158,727.4,True
346,WI,81,no,yes,33,161.6,117,27.47,123.0,90,10.46,261.3,101,11.76,12.2,5,3.29,1,0.045005740528128585,0.16998762376237625,0.269672131147541,0.08504065040650408,558.0999999999999,False
992,MI,45,no,yes,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,0.045023696682464455,0.17001090512540892,0.2701298701298701,0.08499335989375831,313.29999999999995,False
1983,SC,114,no,yes,4,141.3,96,24.02,230.4,88,19.58,223.7,85,10.07,9.4,3,2.54,3,0.04501564595440322,0.16999292285916487,0.2702127659574468,0.08498263888888888,604.8,False
748,LA,106,no,no,0,220.7,120,37.52,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1,0.044983552631578945,0.17000453103760763,0.2701149425287357,0.08501110288675055,621.1999999999999,False
2417,GA,120,no,no,0,98.2,99,16.69,186.7,85,15.87,146.7,96,6.6,9.3,4,2.51,2,0.044989775051124746,0.169959266802444,0.2698924731182795,0.08500267809319764,440.9,False
1408,NM,232,no,no,0,165.6,104,28.15,195.9,115,16.65,118.3,77,5.32,11.8,3,3.19,1,0.04497041420118344,0.16998792270531402,0.2703389830508474,0.08499234303215926,491.6,False
113,DE,125,no,no,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0.04499596448748991,0.17000789265982635,0.2699248120300752,0.085,593.8,False
3039,DC,70,no,no,0,152.8,145,25.98,183.6,102,15.61,151.8,75,6.83,10.5,2,2.84,1,0.04499341238471673,0.1700261780104712,0.2704761904761905,0.08502178649237473,498.70000000000005,False
1249,GA,58,no,no,0,243.1,105,41.33,231.4,108,19.67,180.9,120,8.14,7.8,4,2.11,2,0.04499723604201216,0.17001234060057588,0.2705128205128205,0.08500432152117546,663.2,False
1150,GA,132,no,no,0,193.3,106,32.86,128.3,94,10.91,162.1,119,7.29,11.6,4,3.13,5,0.04497223935842073,0.1699948266942576,0.26982758620689656,0.08503507404520654,495.3,True
1950,TX,52,no,no,0,155.0,110,26.35,133.4,104,11.34,176.1,84,7.92,7.0,4,1.89,4,0.04497444633730835,0.17,0.26999999999999996,0.08500749625187407,471.5,True
1224,AK,120,no,no,0,178.4,97,30.33,168.3,113,14.31,120.5,93,5.42,9.3,9,2.51,1,0.04497925311203319,0.17001121076233183,0.2698924731182795,0.08502673796791443,476.5,False
1206,IA,92,no,yes,25,134.0,112,22.78,206.0,111,17.51,180.6,118,8.13,9.7,4,2.62,0,0.04501661129568107,0.17,0.2701030927835052,0.085,530.3,False
85,VT,128,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,0.04501547987616099,0.16999442275515894,0.2697674418604651,0.0849933598937583,736.8000000000001,False
2294,WV,59,no,no,0,189.7,100,32.25,115.9,133,9.85,220.6,115,9.93,7.4,4,2.0,0,0.04501359927470535,0.17000527148128625,0.27027027027027023,0.08498705780845556,533.5999999999999,False
672,IL,151,no,no,0,175.3,106,29.8,144.3,87,12.27,160.2,88,7.21,11.8,5,3.19,0,0.04500624219725344,0.1699942954934398,0.2703389830508474,0.08503118503118502,491.6,False
1020,HI,115,no,yes,33,145.0,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,0.044985555096987206,0.16999999999999998,0.26971830985915496,0.08498714652956299,596.0,False
128,TX,92,no,no,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,0.045028571428571425,0.17001090512540892,0.26956521739130435,0.08497676819824472,469.59999999999997,False
2637,MT,109,no,no,0,154.8,82,26.32,287.7,109,24.45,208.4,80,9.38,5.9,9,1.59,3,0.04500959692898273,0.17002583979328165,0.2694915254237288,0.08498435870698645,656.8,False
1635,AZ,66,no,no,0,154.0,133,26.18,198.9,121,16.91,151.9,100,6.84,9.5,3,2.57,4,0.04502962475312706,0.16999999999999998,0.27052631578947367,0.08501759678230267,514.3,True
897,DC,108,no,yes,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,0.04498464687819856,0.16998610467809172,0.2703225806451613,0.0849950149551346,627.4,False
2380,NJ,53,no,no,0,228.6,117,38.86,132.8,123,11.29,227.2,124,10.22,10.1,2,2.73,9,0.044982394366197186,0.1699912510936133,0.2702970297029703,0.08501506024096384,598.7,True
308,RI,112,no,no,0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0,0.04498364231188658,0.1700102880658436,0.27017543859649124,0.08502364687335785,579.5,False
385,KS,137,no,no,0,230.2,113,39.13,220.4,79,18.73,204.7,111,9.21,10.7,7,2.89,4,0.04499267220322424,0.16998262380538665,0.27009345794392525,0.08498185117967332,666.0,False
150,IA,113,no,no,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,0.04497968659315148,0.17002063983488133,0.269811320754717,0.08500451671183379,598.1,False
1325,TN,17,no,yes,31,153.1,115,26.03,185.9,59,15.8,224.3,102,10.09,10.0,1,2.7,6,0.04498439589835042,0.17001959503592426,0.27,0.0849919311457773,573.3,True
2704,OR,72,no,no,0,141.3,133,24.02,134.9,96,11.47,227.5,97,10.24,11.2,3,3.02,2,0.04501098901098901,0.16999292285916487,0.2696428571428572,0.08502594514455152,514.9,False
2180,AL,121,no,no,0,168.9,128,28.71,123.9,99,10.53,266.3,105,11.98,2.9,7,0.78,2,0.04498685692827638,0.1699822380106572,0.26896551724137935,0.08498789346246972,562.0,False
428,AZ,140,no,no,0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,0.04500716674629718,0.1699769053117783,0.2696428571428572,0.08501016260162601,590.5,False
497,AL,144,no,no,0,177.5,93,30.18,287.4,75,24.43,180.5,118,8.12,11.9,3,3.21,2,0.04498614958448753,0.17002816901408452,0.26974789915966385,0.0850034794711204,657.3,False
1215,NH,139,no,no,0,221.3,140,37.62,157.8,89,13.41,192.5,89,8.66,11.3,6,3.05,1,0.044987012987012985,0.16999548124717576,0.26991150442477874,0.08498098859315589,582.9000000000001,False
3194,NE,67,no,yes,41,174.7,86,29.7,160.6,93,13.65,155.3,108,6.99,13.4,1,3.62,0,0.04500965872504829,0.1700057240984545,0.2701492537313433,0.08499377334993774,504.0,False
1936,VA,90,no,no,0,102.0,118,17.34,113.3,134,9.63,188.6,105,8.49,11.4,3,3.08,2,0.04501590668080594,0.17,0.27017543859649124,0.08499558693733451,415.3,False
1216,LA,95,no,no,0,141.1,84,23.99,211.4,108,17.97,103.7,127,4.67,5.9,6,1.59,3,0.045033751205400194,0.17002126151665484,0.2694915254237288,0.08500473036896877,462.1,False
2548,MN,117,no,yes,21,153.2,112,26.04,263.3,110,22.38,135.0,85,6.08,11.9,7,3.21,1,0.045037037037037035,0.1699738903394256,0.26974789915966385,0.08499810102544625,563.4,False
2698,MA,145,no,no,0,175.8,89,29.89,274.3,119,23.32,226.6,69,10.2,12.4,4,3.35,1,0.04501323918799647,0.17002275312855517,0.2701612903225806,0.08501640539555232,689.0999999999999,False
3102,IN,100,no,yes,32,125.2,123,21.28,230.9,101,19.63,192.0,106,8.64,12.6,9,3.4,3,0.045000000000000005,0.16996805111821087,0.2698412698412698,0.08501515807708965,560.7,False
1371,ND,190,no,no,0,169.4,102,28.8,253.5,113,21.55,197.1,93,8.87,8.9,5,2.4,1,0.0450025367833587,0.17001180637544275,0.2696629213483146,0.08500986193293886,628.9,False
1247,MA,132,no,no,0,117.6,66,19.99,214.0,108,18.19,239.5,94,10.78,8.8,5,2.38,1,0.045010438413361165,0.16998299319727891,0.27045454545454545,0.085,579.9000000000001,False
1549,CT,107,no,no,0,103.4,94,17.58,189.3,125,16.09,227.2,125,10.22,14.4,3,3.89,1,0.044982394366197186,0.17001934235976787,0.2701388888888889,0.0849973586899102,534.3,False
2978,UT,83,no,no,0,208.9,71,35.51,214.8,92,18.26,247.9,108,11.16,13.0,5,3.51,1,0.04501815248083905,0.16998563906175201,0.26999999999999996,0.08500931098696463,684.6,False
276,HI,148,yes,no,0,218.9,88,37.21,208.0,85,17.68,203.3,99,9.15,11.1,4,3.0,0,0.04500737825873094,0.16998629511192326,0.2702702702702703,0.08499999999999999,641.3000000000001,False
492,ME,92,yes,no,0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2,0.04500409500409501,0.17000765110941088,0.2702127659574468,0.08499616270145816,644.9,True
1494,IA,129,no,no,0,216.0,85,36.72,186.9,114,15.89,210.7,109,9.48,4.9,10,1.32,2,0.04499288087327955,0.16999999999999998,0.2693877551020408,0.0850187265917603,618.5,False
1237,ID,56,no,no,0,150.9,79,25.65,161.8,87,13.75,167.7,115,7.55,11.7,5,3.16,3,0.04502087060226595,0.1699801192842942,0.2700854700854701,0.0849814585908529,492.1,False
694,WI,165,no,no,0,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6,0.045021186440677964,0.16997405966277562,0.2697247706422018,0.08499627699180937,622.5,False
2041,WI,105,no,yes,34,218.5,61,37.15,196.7,74,16.72,151.1,103,6.8,9.9,4,2.67,2,0.04500330906684315,0.1700228832951945,0.26969696969696966,0.08500254194204372,576.2,False
